keyword,original_keyword,status,cluster,suggested_content_type,suggested_url,reason,kd,volume,traffic_potential,cpc,priority_tier,reject_reason,caution_flag
supplement world wichita ks,supplement world wichita ks,Reject,,reject,,Reject — local/store/coupon intent,0,10,7100,4.50,Avoid / reject,local/store/coupon intent,
best supplement high blood pressure,best supplement high blood pressure,Reject,,reject,,Reject — disease-treatment intent,9,10,,,Avoid / reject,disease-treatment intent,
factor 4 supplement,factor 4 supplement,Reject,,reject,,Reject — high-risk medical/gray-area intent,0,10,10,0.90,Avoid / reject,high-risk medical/gray-area intent,
best vitamin c supplement australia,best vitamin c supplement australia,Reject,,reject,,Reject — local/store/coupon intent,2,10,800,,Avoid / reject,non-US geo intent,
dosage of yeast tablet for eyes,dosage of yeast tablet for eyes,Reject,,reject,,Reject — not a supplement content fit,0,10,10,0.30,Avoid / reject,not a supplement fit,
supplement hub,supplement hub,Reject,,reject,,Reject — local/store/coupon intent,0,10,10,,Avoid / reject,local/store/coupon intent,
supplement emma reviews,supplement emma reviews,Reject,,reject,,Reject — high-risk medical/gray-area intent,1,10,15000,,Avoid / reject,high-risk medical/gray-area intent,
supplement world okc,supplement world okc,Reject,,reject,,Reject — local/store/coupon intent,1,,4100,,Avoid / reject,local/store/coupon intent,
supplement xpress lee trevino,supplement xpress lee trevino,Reject,,reject,,Reject — local/store/coupon intent,0,,450,,Avoid / reject,local/store/coupon intent,
best zinc supplement australia,best zinc supplement australia,Reject,,reject,,Reject — local/store/coupon intent,8,,1300,,Avoid / reject,non-US geo intent,
